_time,host,user,src_ip,action,app,status_code,bytes_sent
2024-01-15 08:01:12,web-server-01,alice,192.168.1.10,login,webportal,200,1024
2024-01-15 08:02:45,web-server-01,bob,192.168.1.20,login,webportal,200,1024
2024-01-15 08:05:30,web-server-01,charlie,10.0.0.55,login,webportal,401,512
2024-01-15 08:05:31,web-server-01,charlie,10.0.0.55,login,webportal,401,512
2024-01-15 08:05:32,web-server-01,charlie,10.0.0.55,login,webportal,401,512
2024-01-15 08:05:33,web-server-01,charlie,10.0.0.55,login,webportal,401,512
2024-01-15 08:05:34,web-server-01,charlie,10.0.0.55,login,webportal,401,512
2024-01-15 08:05:35,web-server-01,charlie,10.0.0.55,login,webportal,200,1024
2024-01-15 08:10:00,db-server-01,alice,192.168.1.10,file_access,filestore,200,204800
2024-01-15 08:15:22,db-server-01,alice,192.168.1.10,file_access,filestore,200,512000
2024-01-15 08:20:11,db-server-01,alice,192.168.1.10,file_access,filestore,200,1048576
2024-01-15 08:25:00,db-server-01,alice,192.168.1.10,file_access,filestore,200,5242880
2024-01-15 09:00:00,web-server-01,eve,185.220.101.5,login,webportal,401,512
2024-01-15 09:00:01,web-server-01,admin,185.220.101.5,login,webportal,401,512
2024-01-15 09:00:02,web-server-01,root,185.220.101.5,login,webportal,401,512
2024-01-15 09:00:03,web-server-01,administrator,185.220.101.5,login,webportal,401,512
2024-01-15 09:00:04,web-server-01,sysadmin,185.220.101.5,login,webportal,401,512
2024-01-15 09:00:05,web-server-01,guest,185.220.101.5,login,webportal,401,512
2024-01-15 09:00:06,web-server-01,test,185.220.101.5,login,webportal,401,512
2024-01-15 09:00:07,web-server-01,bob,185.220.101.5,login,webportal,200,1024
2024-01-15 09:05:00,db-server-01,bob,185.220.101.5,file_access,filestore,200,10485760
2024-01-15 09:06:00,dc-server-01,bob,185.220.101.5,login,active_directory,200,2048
2024-01-15 09:07:00,hr-server-01,bob,185.220.101.5,file_access,filestore,200,20971520
2024-01-15 10:00:00,web-server-01,alice,192.168.1.10,logout,webportal,200,256
2024-01-15 10:30:00,web-server-01,dave,172.16.0.99,login,webportal,200,1024
2024-01-15 10:35:00,db-server-01,dave,172.16.0.99,file_access,filestore,200,409600
2024-01-15 11:00:00,web-server-01,frank,192.168.1.50,login,webportal,403,512
2024-01-15 11:01:00,web-server-01,frank,192.168.1.50,login,webportal,403,512
2024-01-15 11:02:00,web-server-01,frank,192.168.1.50,login,webportal,403,512
2024-01-15 12:00:00,web-server-01,bob,185.220.101.5,logout,webportal,200,256
